Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Blancos;Votos Nulos;Abstención;Votos Válidos;Votos Candidaturas;Cs;PUM+J;PCTE;FE de las JONS;PH;PACMA;3e en acción;PARTIDO AUTÓNOMOS;P.S.O.E.;PP;PCOE-PCPE;VOLT;VOX;P-LIB;POLE;MÁS MADRID;EB;UDEC;PODEMOS-IU;RECORTES CERO-PCAS-TC-GV-M
28;2;Ajalvir;;3,251;0;3,251;2,339;10;15;912;2,324;2,314;56;0;1;3;1;4;1;1;325;1,148;0;0;340;1;0;330;1;1;101;0
28;3;Alameda del Valle;;195;0;195;168;3;0;27;168;165;7;0;0;0;0;1;0;0;30;64;0;0;16;0;0;36;0;0;11;0
28;5;Alcalá de Henares;;136,163;4;136,167;100,932;603;789;35,235;100,143;99,540;3,594;63;46;43;45;534;74;52;19,926;42,645;25;45;9,735;21;10;15,540;70;26;7,017;29
28;6;Alcobendas;;80,401;2;80,403;62,036;297;363;18,367;61,673;61,376;2,232;39;20;14;27;274;17;23;10,757;30,588;12;36;5,533;24;8;8,212;60;44;3,430;26
28;7;Alcorcón;;126,919;0;126,919;97,563;565;769;29,356;96,794;96,229;3,115;72;52;22;13;504;54;227;19,798;39,588;20;35;7,841;14;4;16,945;128;24;7,707;66
28;8;Aldea del Fresno;;2,117;0;2,117;1,479;2;24;638;1,455;1,453;18;1;0;0;0;7;0;3;235;694;0;3;201;2;0;169;4;0;116;0
28;9;Algete;;14,659;0;14,659;11,432;61;64;3,227;11,368;11,307;367;4;5;4;4;63;3;6;1,650;5,710;3;7;1,329;1;0;1,560;14;2;571;4
28;10;Alpedrete;;10,935;1;10,936;8,595;50;50;2,341;8,545;8,495;354;6;3;2;3;37;4;4;1,090;4,146;2;5;936;0;1;1,332;6;2;558;4
28;11;Ambite;;460;0;460;319;2;1;141;318;316;10;0;0;1;0;1;0;0;48;135;1;0;55;0;0;37;0;0;28;0
28;12;Anchuelo;;965;0;965;731;3;1;234;730;727;16;0;0;0;0;3;0;0;123;367;0;0;94;0;0;93;0;0;30;1
