Codcir;Codmun;Municipio;Mesa;Censo;Certif. Alta;Certif. Correc.;Censo Total;Votos Electores;Votos Interventores;Votos Totales;Votos Blancos;Votos Nulos;Cs;PUM+J;PCTE;FE de las JONS;PH;PACMA;3e en acción;PARTIDO AUTÓNOMOS;P.S.O.E.;PP;PCOE-PCPE;VOLT;VOX;P-LIB;POLE;MÁS MADRID;EB;UDEC;PODEMOS-IU;RECORTES CERO-PCAS-TC-GV-M
28;2;Ajalvir;1-001 -A;824;0;0;824;575;0;575;6;3;16;0;0;0;0;0;0;0;80;264;0;0;88;0;0;97;0;1;20;0
28;2;Ajalvir;1-001 -B;835;0;0;835;566;0;566;1;5;14;0;0;2;0;1;1;0;69;291;0;0;79;0;0;77;1;0;25;0
28;2;Ajalvir;1-002 -A;760;0;0;760;584;0;584;1;6;13;0;1;0;0;1;0;0;88;290;0;0;78;0;0;78;0;0;28;0
28;2;Ajalvir;1-002 -B;832;0;0;832;614;0;614;2;1;13;0;0;1;1;2;0;1;88;303;0;0;95;1;0;78;0;0;28;0
28;3;Alameda del Valle;1-001 -U;195;0;0;195;168;0;168;3;0;7;0;0;0;0;1;0;0;30;64;0;0;16;0;0;36;0;0;11;0
28;5;Alcalá de Henares;1-001 -A;563;0;0;563;428;1;429;7;3;12;0;0;1;0;3;0;1;53;203;0;0;54;0;0;61;0;0;31;0
28;5;Alcalá de Henares;1-001 -B;636;0;0;636;474;2;476;6;6;26;0;2;0;0;1;0;0;73;213;0;0;40;0;0;77;2;0;30;0
28;5;Alcalá de Henares;1-002 -U;690;0;0;690;542;0;542;5;2;17;0;0;0;0;4;0;0;101;223;0;0;39;0;0;100;0;1;50;0
28;5;Alcalá de Henares;1-003 -A;599;0;0;599;463;0;463;7;2;17;0;0;0;2;3;1;0;100;175;0;1;34;1;0;78;1;0;41;0
28;5;Alcalá de Henares;1-003 -B;643;0;0;643;492;0;492;3;10;14;0;0;0;1;6;0;1;96;184;0;0;41;0;0;96;0;0;40;0
28;5;Alcalá de Henares;1-004 -A;497;0;0;497;396;1;397;0;2;11;0;0;0;0;1;0;0;49;222;0;0;44;0;0;46;0;0;22;0
28;5;Alcalá de Henares;1-004 -B;484;0;0;484;372;0;372;1;1;6;1;0;0;0;2;1;0;66;202;0;0;39;1;0;30;0;0;22;0
28;5;Alcalá de Henares;1-005 -A;528;0;0;528;428;0;428;2;7;11;0;0;0;0;1;0;0;57;222;0;0;62;0;0;45;0;0;21;0
28;5;Alcalá de Henares;1-005 -B;459;0;0;459;350;0;350;1;2;10;0;0;1;0;0;0;0;62;173;0;0;38;0;0;43;0;0;20;0
28;5;Alcalá de Henares;1-006 -A;492;0;0;492;394;0;394;6;2;18;0;0;0;0;0;1;0;87;156;0;0;38;0;0;58;0;0;28;0
28;5;Alcalá de Henares;1-006 -B;486;0;0;486;380;0;380;3;2;9;0;0;0;0;2;1;0;72;158;0;0;25;0;0;73;1;0;34;0
28;5;Alcalá de Henares;1-007 -A;488;0;0;488;355;0;355;2;5;13;0;0;0;0;3;0;0;95;130;0;0;27;0;0;50;0;0;30;0
28;5;Alcalá de Henares;1-007 -B;445;0;0;445;334;0;334;1;1;10;1;0;0;1;2;0;0;80;132;0;0;24;0;0;50;0;0;32;0
28;5;Alcalá de Henares;1-008 -U;574;0;0;574;403;0;403;2;7;9;0;0;0;0;3;0;0;128;144;0;0;34;0;0;54;0;0;22;0
28;5;Alcalá de Henares;1-009 -U;834;0;0;834;592;0;592;1;9;11;0;0;0;0;6;0;0;167;205;0;0;59;0;0;81;1;0;52;0
28;5;Alcalá de Henares;1-010 -U;666;0;0;666;478;0;478;1;1;12;0;0;0;0;11;1;1;87;207;0;0;57;0;0;74;0;0;26;0
28;5;Alcalá de Henares;1-011 -A;469;0;0;469;353;0;353;1;0;6;0;0;0;0;3;0;0;75;175;0;0;23;0;1;44;1;0;24;0
28;5;Alcalá de Henares;1-011 -B;523;0;0;523;407;0;407;4;2;11;1;0;0;0;0;0;0;79;182;0;0;42;0;0;49;1;0;36;0
28;5;Alcalá de Henares;1-012 -A;708;0;0;708;548;0;548;6;5;12;0;1;0;0;4;0;0;87;252;0;0;67;0;0;85;1;0;28;0
28;5;Alcalá de Henares;1-012 -B;626;0;0;626;501;0;501;1;2;13;0;0;0;0;1;0;0;82;247;0;0;64;0;0;65;0;0;26;0
28;5;Alcalá de Henares;1-013 -U;669;0;0;669;522;0;522;0;1;10;0;0;0;1;0;0;0;64;268;0;1;66;0;0;73;0;0;37;1
28;5;Alcalá de Henares;1-014 -A;501;0;0;501;383;0;383;2;0;12;0;0;3;0;4;0;0;58;206;0;0;35;0;0;36;0;0;27;0
28;5;Alcalá de Henares;1-014 -B;453;0;0;453;355;0;355;2;3;13;0;0;1;0;2;0;0;55;181;0;0;44;0;0;42;2;0;10;0
28;5;Alcalá de Henares;1-015 -A;748;0;0;748;553;0;553;3;2;19;0;0;0;0;2;0;0;65;246;1;0;64;0;0;103;0;0;48;0
28;5;Alcalá de Henares;1-015 -B;808;0;0;808;603;0;603;3;4;13;0;1;0;0;2;0;2;120;242;0;0;66;0;0;97;0;0;53;0
28;5;Alcalá de Henares;1-016 -U;793;0;0;793;556;0;556;6;7;11;0;1;0;1;0;0;2;113;216;0;0;53;0;0;102;0;0;44;0
28;5;Alcalá de Henares;1-017 -U;591;0;0;591;413;0;413;5;3;8;0;0;0;1;3;1;0;85;202;0;1;36;0;0;44;0;0;24;0
28;5;Alcalá de Henares;1-018 -U;748;0;0;748;536;0;536;3;8;15;0;0;0;0;3;0;1;110;218;0;0;50;1;0;85;0;0;42;0
28;5;Alcalá de Henares;1-020 -A;499;0;0;499;322;0;322;1;6;8;0;0;0;1;4;1;0;71;118;0;0;43;0;0;45;0;0;24;0
28;5;Alcalá de Henares;1-020 -B;448;0;0;448;288;0;288;1;4;10;0;0;0;1;3;0;0;73;107;0;0;36;0;0;32;0;0;21;0
28;5;Alcalá de Henares;1-021 -A;568;0;0;568;441;0;441;3;3;26;0;0;0;0;2;1;0;103;191;0;0;40;0;0;51;0;0;21;0
